groupid,url,title,review_id,sentence_id,text,label_m,metadata-year,metadata-other,label_perplexity,label_copilot,label
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,1,1,"Jako ljubazan, stručan, voljan pomoći.",2,2025,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,1,2,"Sasluša pacijenta i procijeni što je najbolje učiniti kako bi se riješile tegobe - u mom slučaju, kako bih uopće došla do konačne dijagnoze.",2,2025,,1,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,1,3,Jedan od rijetkih doktora koji želi znati sve tegobe neovisno jesu li isključivo vezane za njegovo područje.,2,2025,,1,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,2,1,Najbolji neurokirurg kojeg sam upoznala.,2,2024,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,2,2,"Spasio me od nepokretnosti, života u bolovima i nemoći.",2,2024,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,2,3,Stopalo desne noge je palo (nervus peroneus).,2,2024,,1,1,1
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,2,4,Nakon operacije svi bolovi su nestali a stopalo se sa vremenom uz fizikalnu terapiju vratilo u funkciju.,2,2024,,1,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,3,1,"Dragi svi, Operirala sam lumbalni dio kraljeznice 31.7.2024.",2,2024,,1,1,1
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,3,2,Prvi pregled kod Sajka kao i susret s njim prije i poslije operacije bio je ugodan i profesionalan.,2,2024,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,3,3,Profesionalac koji unaprijed zna sto pocijenta zanima i bez ikakvih dodatnih pitanja dobijete odmah sve bitne i kljucne informacije.,2,2024,,1,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,4,1,"Pređeni kilometri uzaludno za 4 minute pregleda i 750 kn , izvikani , bahati i čak bi se usudio reći slab sa živcima.",0,2024,,0,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,4,2,Ne preporučam .,0,2024,,0,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,5,1,Vrhunski odrađena operacija.,2,2023,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,5,2,"Svakodnevna kontrola, detaljno objašnjenje svih mojih pitanja.",2,2023,,1,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,6,1,"Tomislav Sajko jedan je izuzetan liječnik i još bolji čovjek, svijetla točka našeg zdravstva.",2,2023,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,6,2,Prije 3 mjeseca je operirao mog svekra (diskus hernija - ekstruzija diska) i vratio ga u život.,2,2023,,2,2,2
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,8,1,"Doktor koji uništava kičme , a nitko mu ništa ne može...",0,2023,,0,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,8,2,Dno dna da takav Doktor uopće smije operirati pacijente nakon svih neuspješnim operacija.,0,2023,,0,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,8,3,Sama sam jedna od njih.,0,2023,,1,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,12,1,"Nakon 3 operacije kralježnice i stabilzacije kralježnice , doktor je rekao da ne vidi cemu bol, onda me je poslao na CT gdje se vidjelo da je implantat ispao u spirani kanal ..",0,2022,,1,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,12,2,"to je izvadio , bolovi mi ne staju ni nakon toga, doktor se ne javlja uopće niti vidi razlog moje boli....",0,2022,,0,0,0
5,https://najdoktor.com/tomislav-sajko/d9926,Tomislav Sajko,19,1,"Pozdrav, Pišem ovaj komentar zbog svoje svoje tete koja je bila kod dr. Sajka na operaciji kralježnice.",0,2019,,1,1,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,1,"Doktorica Ulla Marton je vodila obje trudnoće našeg djeteta, i oboje su bile rizične.",2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,2,"Tragajući za liječnikom koji će biti u stanju prepoznati zdravstveno stanje i voditi u razdoblju nesigurnosti u plodnost, nije bilo lako.",2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,3,Doktorica Manda Marton je na prvom pregleda napravila ogroman zaokret u pogledu pojašnjenja i vodstva.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,4,"Nakon toga je dr.Ulla Marton nastavila voditi cijelu trudnoću, sve do poroda na KB Sveti Duh.",2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,5,"Jednako tako je vodila vrlo brižno i drugu trudnoću, koja je ispala još rizičnija.",2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,6,"Doktoricu Ullu Marton krasi iznimna razina topline, empatije, istinske brige za pacijenticu.",2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,7,Svaki put smo bili uvjereni u to.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,8,"Pritom razina stručnosti i realnost procjene nikad nije izostala, štoviše, bila je savršena.",2,2025,,2,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,9,Primjećujem da svoj poziv i zvanje iznimno voli.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,10,Nikad nije bila loše volje ili odsutna.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,11,"Nikad nije odradila pregled ili prijem ""ofrlje"", dapače.",2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,12,"Doktorica Ulla Marton, zajedno s dr. Mandom Marton je pomogla da se unatoč ne savršenim zdravstvenim ginekol.okolnostima, naših dvoje anđela zdravo rode.",2,2025,,2,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,13,Toplina i stručnost kojom smo bili okruženi svaki put kad bismo došli na praćenje i kontrolu bila je uvijek iznimna.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,14,"To je ranjivoj ženi ispredanoj od liječenja i bolnica, kao i suprugu jako važno.",2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,15,Zauvijek ćemo joj biti zahvalni.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,1,16,Iznimna liječnica i čovjek.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,2,1,O dr. Marton definitivno sve najbolje.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,2,2,Njezina sam pacijentica više od deset godina i stvarno mogu reći da imam najbolju doktoricu na svijetu.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,2,3,"Iznimno profesionalna i ljubazna kao doktor i kao čovjek, dijagnoza bolesti joj je uvijek na mjestu i uz propisanu terapiju stanje mi se popravlja vrlo brzo.",2,2025,,2,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,3,1,Ovaj komentar me je ostavio bez riječi.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,3,2,Toliko neprijateljskih kleveti i neistina nemogu uopće pojmiti.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,3,3,Vrlo primitivno!,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,3,4,"Mama Marton je jedna od najtoplijih, najnježnijih i najpažljivijih ljećnica ginekologije.",2,2025,,2,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,3,5,A da njezino dugogodišnje iskustvo i stvarno veliko profesionalno znaje niti ne spominjem.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,3,6,Ali da bi to netko mogao ocijeniti mora i sam imati barem neko osnovno zanje o osobnoj njezi i vlastitom tijelu.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,3,7,Nakon gotovo 55 godina posjetama ginekologa u Hrvatskoj ali i u inozemstvu mislim da to mogu jako dobro ocijeniti.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,3,8,No očito ovakav nivo nije za svakoga.,2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,3,9,"A što se tiče KLEVETA, može Vas biti samo sram.",2,2025,,1,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,3,10,I dobro je da više ne dolazite.,2,2025,,1,0,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,4,1,"Doktorica Ulla Marton je prvenstveno čovjek, a onda i vrlo dobra liječnica.",2,2024,,1,0,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,4,2,"Svog pacijenta cijeni, ne ismijava, ne obraća se s visoka.",2,2024,,1,0,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,4,3,Sve pojasni i ne gleda vas samo kroz novčanik.,2,2024,,1,0,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,4,4,Drago mi je da sam na preporuku otišla do doktorice Ulle.,2,2024,,1,0,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,9,1,"Nažalost, imala sam negativno iskustvo s doktoricom Marton.",0,2024,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,9,2,Došla sam s nalazima o prisutnosti HPV-a te CIN I.,0,2024,,1,2,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,9,3,"Doktorica je imala samo jedan savjet, a to je cijepljenje protiv HPV-a (koje ne rješava trenutni probelm jer je virus već prisutan).",0,2024,,1,2,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,9,4,"Iako je procedura takva da se nakon pozitivnog HPV testa napravi kolposkopija te se vidi koliko su stanice vrata maternice promijenjene te treba li ih ukloniti, doktorica mi je tu opciju predložila kao „možemo to napraviti ukoliko se ne želite cijepiti“, cijelo vrijeme spominjući cijepljenje kao najispravniji korak.",0,2024,,1,2,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,9,5,"Na sreću, otišla sam kod druge doktorice koja je kolposkopskim pregledom utvrdila da su stanice dosta promijenjene te da treba hitno reagirati kako se ne bi stvorio puno veći problem.",0,2024,,1,1,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,9,6,"Ovakav pristup doktorice Marton, koji ne pokazuje dovoljno brige prema pacijentu, smatram neprofesionalnim.",0,2024,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,10,1,Doktorica Marton mi je vodila prvu trudnoću.,0,2016,,1,2,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,10,2,Iako sam bila zadovoljna s njom i vjerovala joj nije se pokazala dobrim dijagnostičarom što je rezultiralo s prijevremenim porodom i boravkom bebe na intenzivnoj od 23 dana.,0,2016,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,10,3,"Vjerujem da je velika većina ljudi zadovoljna s njom budući da je 90% trudnoća uredno, ali onda vam i ne treba posebno dobar liječnik.",0,2016,,2,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,11,1,Zaboravila sam napomenuti da se presvlačite pokraj otvorenih prozora :O užas.,0,2016,,0,1,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,11,1,"Naručila sam se kod dr.Ulle Marton na pregled, a pregledala me njezina majka.",0,2016,,1,2,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,11,2,"Živu me isprepadala, da tko zna kakve sam bolesti pokupile (a odnose sam imala samo sa sadnjišim dečkom).",0,2016,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,11,3,Uzela mi i briseve i papa da bi na kraju sve bilo u savršenom redu k tome je koristila RUKAVICU KOJA SE KORISTI ZA TOČENJE GORIVA NA BENZINSKOJ CRPKI.,0,2016,,2,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,11,4,"I sve to sam masno platila, nikad mi nije žao dati novce za zdravlje, ali ovo ne zaslužuje nijednu lipu.",0,2016,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,11,5,"Za dr.Ullu ne mogu ništa reći jer mi se samo u prolazu javila, ali tretman koji sam dobila od njezine majke ne bih ni kobili priuštila, nikad više u tu ordinaciju neću nogom kročiti.",0,2016,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,12,1,Par godina sam išla kod doktorice privatno.,0,2015,,1,2,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,12,2,"Iako doktorica je korektna i predana svom poslu, smatrala sam da je jednostavno preskupa te da mi ne odgovara kao doktorica.",0,2015,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,12,3,"Vjerujem da ima mnogo vrlo zadovoljnih pacijenta ali ja nažalost nisam jedna, osjećala sam se kao da sam samo broj u nizu.",0,2015,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,12,4,"Ipak hvala na svemu, ali našla sam novog ginekologa koji je više odgovarao i kojem absolutno vjerujem.",0,2015,,2,2,2
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,12,1,"što reći o ginekologu koji na vaš odgovor da imate 20 godina i partnera kaže -ah, dječja posla... katastrofa.",0,2015,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,13,1,Nisam bila zadovoljna načinom rada u ordinaciji dr. Marton jer neke pacijentice pregledava ona a neke dr. Manda Marton?,0,2014,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,13,2,"Ja sam bila jednom i eto, po redosljedu sam došla kod dr. Mande i nisam bila zadovoljna.",0,2014,,0,2,0
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,13,3,Smatram da se za tu cijenu treba dobiti puno više uljudnosti i ljubaznosti pri pregledu.,0,2014,,1,2,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,13,4,Također mi je jednako naplaćen UZV+papa+pregled i sami pregled bez UZV-a i pape.,0,2014,,1,2,1
5,https://najdoktor.com/ulla-marton/d10900,Ulla Marton,13,5,"Dr. Manda me nije shvaćala pretjerano ozbiljno jer sam ""mlada"" pa me to malo uvrijedilo.",0,2014,,0,2,0
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,1,1,Evo da i ja malo pohvalim svoju doktoricu!!!,2,2025,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,1,2,"U njezinom je radu prvenstveno izražena ljudskost i visok stupanj profesionalnosti, izrazito je ljubazna, uvijek vesela te stručna.",2,2025,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,1,3,Uvijek se maksimalno potrudi pomoći.,2,2025,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,1,4,Hvala za sve..,2,2025,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,2,1,Dr.,2,2024,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,2,2,"Borčić Sesar je izvrsna doktorica, stručna, profesionalna, požrtvovna i nadasve ljubazna osoba.",2,2024,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,2,3,Mislim da bi se mnogi mogli naučiti od nje kako se ponaša prema pacijentu.,2,2024,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,3,1,Doktorica je izrazito predana svom poslu!,2,2024,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,3,2,Zbog nje sam izgubila strah od stomatologa!,2,2024,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,3,3,Sada dođem opušteno i sjednem na stolicu!,2,2024,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,3,4,Jako stručna u svom poslu!,2,2024,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,4,1,"Ljubazna, stručna i pažljiva.",2,2023,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,4,2,Termini uvijek po dogovoru bez kašnjenja.,2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,4,3,Ordinacija i čekaonica uvijek jako uredno i čisto.,2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,4,4,Sve pohvale!!,2,2023,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,5,1,"Izuzetno susretljiva i profesionalna,predana svom poslu.",2,2023,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,5,2,"Uvijek spremna poslušati, objasniti i riješiti problem.",2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,5,3,Svaki zahvat obavi stručno i bezbolno.,2,2023,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,5,4,Tople preporuke A.P.,2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,6,1,"Smirena, i izuzetno strpljiva.",2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,6,2,"Prvenstveno čovjek, a onda vrhunska liječnica.",2,2023,,2,0,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,6,3,Što se tiće zahvata - uvijek bez greške.,2,2023,,1,0,1
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,6,4,"Rad precizan, ima nježnu ruku, ne odugovlaći.",2,2023,,2,0,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,7,1,"Predivna i izuzetno stručna liječnica, ordinacija uvijek besprijekorno čista i uredna kao i prostor čekaonice.",2,2023,,2,0,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,7,2,Sestre uvijek ljubazne i nasmijane.,2,2023,,1,0,1
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,7,3,"Posebne pohvale liječnici za rad s malom djecom, jako pristupačna, nježna i puna empatije prema svima.",2,2023,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,8,1,Pacijentica sam doktorice dent.med.Ivane Borcic od prvog dana otvaranja ordinacije.,2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,8,2,"Uvijek je profesionalna, dostupna i informirana o novitetima u dentalnoj medicini.",2,2023,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,8,3,"To mi je izrazito vazno jer ponudi neka nova rjesenja problema, nove mogucnosti.",2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,8,4,S vremenom je cijela moja obitelj postala stalni pacijent.,2,2023,,1,1,1
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,8,5,Hvala Vam dr.Ivana.,2,2023,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,9,1,Najbolja teta zubarica na svijetu!,2,2023,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,9,2,Za svaki moj problem je pronašla najbolje rješenje.,2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,9,3,"Iako mi je još od djetinjstva odlazak kod zubara bio svojevrsna drama, nikada mi nije bio problem otići kod Ivane.",2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,9,4,Učinila je da strah i nelagoda nestanu :),2,2023,,1,1,1
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,10,1,Doktorica Ivana vam doslovno vraća osmijeh na lice!,2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,10,2,"Nema straha, nema neizvjesnosti; dobijete objašnjenje za svaki korak koji će napraviti.",2,2023,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,10,3,"Ovdje ste u stručnim, samouvjerenim i pažljivim rukama!",2,2023,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,11,1,Svima bih preporučio doktoricu Ivanu jer svim pacijentima koji imaju problem sa zubima rijesit ce na najbolji mogući nacin.,2,2022,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,11,2,Vrlo je ljubazna i pedantna te predana svome poslu.,2,2022,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,12,1,"Najbolja doktorica koja postoji, ima dobre savjete, jako je pristupačna i osjećajna, preporučujem i drugima jer je najbolja !",2,2022,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,13,1,"Apsolutno je naj, naj bolja kao doktorica, kao osoba i kao majka.",2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,13,2,Svaka joj čast.,2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,13,3,Skidam kapu do poda.?????,2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,14,1,Sve je rečeno u samom ocjenjivanju Sve ostalo je suvisno.,2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,14,2,STRUČNOST I LJUBAZNOST NA NIVOU.,2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,14,3,UVIJEK SPREMNA POMOCI PREPORUČIO BIH ORDINACIJU DR BORCIC SESAR SVIMA,2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,15,1,Njezino raspoloženje i samom pacijentu popravi dan.,2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,15,2,"Vrlo pristupačna, profesionala , organizirana i ljubazna doktorica.",2,2021,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,15,3,"Već sam dvije godine njezina pacijentica i dok god mogu, biti ću njezina pacijentica jer joj u potpunosti vjerujem.",2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,16,1,Dr.,2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,16,2,"Borčić izuzetno je susretljiva, strpljiva i ugodna osoba.",2,2021,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,16,3,"Savjesna je, stručna i profesionalna.",2,2021,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,16,4,Dobila sam dojam da jako voli ono što radi.,2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,16,5,Temeljita je i redovito savjetuje pacijenta kako preventivno djelovati.,2,2021,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,17,1,Nakon svih radova bila sam zadovoljna pristupom i profesionalnošću te bih svakako preporučila dr.,2,2021,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,17,2,Borčić kao osobu kojoj se s punim povjerenjem mozete obratiti.,2,2021,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,17,3,"Doktorica je izuzetno stručna, angažirana i topla osoba.",2,2021,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,18,1,"Izrazito ljubazna,strucna,temeljita i jasna.",2,2020,,2,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,18,2,Sve su to odlike koje krase divnu doktoricu Ivanu.,2,2020,,1,2,2
5,https://najdoktor.com/ivana-borcic-sesar/d13856 ,Ivana Borčić-Sesar,18,3,Kod nje strah od zubara nestaje.,2,2020,,1,2,2
