review_order,title,review_id,full_review,number_of_sentences,label_m_review
1,Ilva Marić,1,"Doktorica ljubazna, brižna, sve najbolje...preporučam je Oduševljena sam njenim odnosom prema meni",2,2
2,Ilva Marić,2,"Ordinacija je lijepa, uredna i pozitivno zrači, kada ste tamo jednostavno se ugodno osjećate Kroz ove godine stekla sam dojam da je doktorici zaista stalo do njenih pacijenata i svakim dolaskom se iznova uvjerim u to Temeljita, susretljiva, nikad ne pogriješi!",3,2
3,Ilva Marić,3,"Nježna, ljubazna, stručna, sjajna u postavljanju dijagnoze Nažalost nisam dugo bila upisana kod nje jer sam odselila, ali preporučujem ju svakome",2,2
4,Ilva Marić,4,Sve pohvale za doktoricu jako dobra sve objasni obavi jako dobro pregled da sam tražila ne bih našla bolju doktoricu Kad idem na pregled nema straha jer imam povjerenja u doktoricu,2,1
5,Ilva Marić,5,"Toliko ljubazan i profesionalan odnos prema pacijentima, sve lijepo objašnjeno i pokazano! Svaka pohvala gospodinu Mariću! Svakako ću Vas svima preporučiti!",3,1
6,Ilva Marić,6,"Doktorica je izvrsna liječnica Pristup joj je korektan i profesionalan Sestra uslužna i također, profesionalna Doživjeti danas da vam se toliko liječnik posveti zaista je rijetko, tako da sve pohvale za doktoricu Marić",4,2
7,Ilva Marić,7,"Divna doktorica, stručna i izuzetno ljubazna.Rijetko sam naišla na liječnika koji mi sve detaljno objasni i doživljava me kao osobu",1,2
8,Ilva Marić,8,"Susrela sam mnoge DR. ali doktorica Marić je prvo veliki čovjek, a zatim vrhunska stručnjakinja! DR. Marić preporučam od srca svakoj ženi Imala sam rizičnu trudnoću koju je vodila i poslije još neke ginekološke probleme koje je riješila Izuzetno je strpljiva, savjesna, susretljiva i otvorena za sva pitanja, vidi se da voli posao koji radi",4,2
9,Ilva Marić,9,"Preporuke svima za ovu divnu doktoricu,meni osobno najbolje iskustvo s liječnicima do sad,jednostavno najbolja je ?",1,2
10,Ilva Marić,10,"Doktorica je izrazito ugodna, ljubazna, pažljiva i stručna Cijelu trudnoću sam vodila kod nje i prezadovoljna sam Pohvale i za sestru koja je također uvijek ljubazna i nasmijana Pregled ugodan, sve objašnjeno, na sva pitanja dobila odgovor Jako sam sretna što sam ju pronašla te bih svakako doktoricu preporučila svakoj ženi koja dobro želi brinuti o svom zdravlju",5,2
11,Ilva Marić,11,"Doktorica je super ljubazna, pregled je nevjerojatno ugodan, brine se da ti je udobno, sve je dobro predvidjela (skoro pogodila dan poroda, pogodila kakav će porod biti)",1,2
12,Ilva Marić,12,"Doktorica je toliko draga, profesionalna i empatična Ja koja imam uvijek hrpu pitanja uvoiek izađem kompletno obavještena Prvo čovjek a onda liječnica I to zaista vrhunska!",4,1
13,Ilva Marić,13,"Mnogi ginekolozi i ginekologinje, koliko čujem iz iskustva prijateljica, bilo privatnici ili javni, tretiraju svoje pacijentice koje dolaze na prve ginekološke preglede i redovne kontrole vrlo žurno i mahinalno, ali moje iskustvo s DR. Ilvom Marić je bilo sasma drugačije i ugodno Unatoč tome što sam bila prvi put, nisam se osjećala stranom zbog profesionalne i ljubazne medicinske sestre i jednako tako ljubazne i pažljive ginekologinje Preporučujem DR. Ilvu Marić za prve ginekološke preglede upravo zbog njene obzirnosti prema mladoj pacijentici",3,2
14,Ilva Marić,14,"Doktorica je iznimno temeljita, jasna, pristupačna i ljubazna Pregledi kod nje su ugodni i bezbolni Svakako ju preporučujem",3,2
15,Ilva Marić,15,"Divna doktorica,temeljita,pažljiva,osjećam se sigurno i imam potpuno povjerenje.Sestre Ines i Galina besprijekorne u obavljanju svog posla.Ordinacija je predivno uređena i opremljena i što je najbitnije jako uredna.Sve pohvale i preporuke <3",1,2
16,Ilva Marić,16,"Susretljiva i ljubazna doktorica, opušteno i bez nelagode dolazim u ambulantu, pregled bezbolan, daje odgovore na moja pitanja Moja preporuka!",2,2
17,Ilva Marić,17,"Svojim pristupom mi je ulila povjerenje i zaista ju ne bih mijenjala, nadam se da neću morati Prošle smo zajedno moje dvije trudnoće i dalje sam njena redovna pacijentica Prekrasan osjećaj kad dođete i odete opušteno",3,1
18,Ilva Marić,18,"Super doktorica Temeljita, jasna, strpljiva i jako ugodna Definitivno cu iduci pregled opet obaviti kod nje",3,2
19,Ilva Marić,19,"Odlična doktorica,stručna,ljubazna i nadasve strpljiva!",1,2
20,Ilva Marić,20,"Jako ljubazna, pristupačna i brižna Sreća je da nemam nekih ginekoloških problema, ali činjenica je toliko angažirana oko mene i mojih pitanja o budućoj trudnoći, samo mi je povećava povjerenje kako ću, bez straha, imati dobru i stručnu doktoricu uz sebe!! Veliki plus i za sestru Hvala vam, doktorice!",4,2
21,Ilva Marić,21,"Sve pohvale! Odlična doktorica! Profesionalna,simpatična,stručna, A i sestra je uvik prijateljski raspoložena,ljubazna i komunikativna, Čitam nezadovoljstvo nekih pacijentica pa bih samo rekla drage moje ima i svakakvih pacijentica! Dodju neradpoložene ili misle da ih se treba posebno tretirati! Drage gospodje prvo potadite na sebi pa onda sudite o ponašanju sestre ili doktorice! Hvala DR.Marić i simpatičnoj sestri",7,2
22,Ilva Marić,22,"Citam da ste svi nezadovoljni DR. Marić i sestrom,al isto tako morate uzeti u obzir da su prekrcane pacijenticama...nema ih 10 nego poprilicno...meni je vodila trudnocu i ne da sam zadovoljna nego prezadovoljna...otisla je u privatnike al ja sam ostala kod nje....mislim da se po tome moze zakljuciti jel dobra il ne...a ako kome ne pase radije se prebacite kod nekog drugog nego da ostavljate ruzne komentare za obje",1,1
23,Ilva Marić,23,"Prvi put sam bila kod dokt.na pregledu i jako sam zadovoljna Nježna,temeljita,ne brza kod pregleda,što mi je bilo bitno s obzirom na trudnoću.Objasnila je sve u detalje",2,2
24,Ilva Marić,24,"Prvo bih počela sa sestrom koja je stvarno ljubazna prema meni bila Mlada sam, nisam majka, nisam trudna, jednostavno imam problema sa cistama na jajnicima tako da mi je prošla godina bila stalno kod doktorice Marić Imam samo pohvale, sestra ljubazno kaže da pričekate malo, što je inaće dosta dugo al Bože moj, doktorica je uvijek ljubazna, spremna pomoći, odgovori na pitanja, papa test i briseve nisam ni osjetila, tj kada me najviše boljelo nisam osjetila bol pri pregledu koliko se doktorica trudi Samo pohvale!",4,2
25,Ilva Marić,25,"Ponekad stvari krenu loše, u tom trenutku izrazito vam je važno da uz sebe imate izvrsnog liječnika, profesionalca ali i čovjeka prije svega U najtežim trenutcima mog života-izrazito kompliciranoj i neizvjesnoj trudnoći, DR. Marić je pokazala izrazitu stručnost, ali i ljudskost Uvijek je našla vremena za strpljivo odgovaranje na sva pitanja, bila spremna pomoći, nadilazila sve okvire uobičajenog odnosa pacijent-liječnik U svakom trenutku sam znala da se na nju mogu osloniti, da smo i beba i ja u najboljim mogućim rukama i nikada se nisam osijećala kao da sam samo još 1 pacijent Stoga ako i morate malo pričekati zaista se isplati, boljeg liječnika nećete naći",5,1
26,Ilva Marić,26,"Bravo za našu doktoricu! Puno mi je pomogla, izuzetno je cijenim",2,2
27,Ilva Marić,27,Doktorica i sestra daju sve od sebe u uvjetima u kojima rade Imala sam velike probleme koje je doktorica strucno prepoznala i spasila me.Samo rijeci hvale za njih,2,1
28,Ilva Marić,28,"Doktorica je izvrsna, ljubazna i profesionalna Brzo postavi dijagnozu i s lakoćom objasni sve nejasnoće Ali, njena sestra je grozna Ne javlja se na telefon cijeli dan, a dok čekam na pregled redovito zna izaći ispred vrata i ćakulati s pacijenticama koje poznaje Također, bezobrazno je od sestre da ne naručuje na pregled drugog u mjesecu ako je prvi bio neradan i još se ponaša kao da to nije njen problem",5,0
29,Ilva Marić,29,"Izuzetno ljubazne I doktorica I sestra (posebno doktorica) Izlaze u susret maksimalno te ukoliko je hitno ili bar mislite da je hitno, doktorica ce Vas primiti na pregled....Bila bi idealna mogucnost ugovaranja termina e-mailom",2,1
30,Ilva Marić,30,"DR. Marić mi je vodila obje trudnoće i uvijek je bila jako ljubazna prema meni Što se tiče sestre, njezin rad je maksimalno kvalitetan s obzirom na uvjete i prevelik broj pacijenata Od mene imaju samo riječi pohvale",3,2
31,Ilva Marić,31,"Imam samo pozitivna iskustva Kako s doktoricom, tako i sa sestrom Moram priznati, malo me plase i cude svi ovi neg komentari Svaki put minimalno cekam i sestra je ljubazna prema meni",4,1
32,Ilva Marić,32,"Kod doktorice sam upisana već četiri godine tijekom kojih stalno plaćam privatne preglede jer je do nje nemoguće doći, čak i tog famoznog ""prvog u mjesecu"" Ako osoba koja je završila medicinu i položila zakletvu dopušta da se njeno tako ponaša prema nečijem zdravlju - pametnome dosta",2,1
33,Ilva Marić,33,Molim medicinsku sestru koja radi u ordinaciji dr Marić da počne odgovorno i savjesno obavljati svoj posao Tjedan dana svakodnevno zovem po 20 puta bezuspješno Uvijek daje znak da je zauzeto što bi značilo da je slušalica podignuta Ukoliko ne daje znak zauzeto - nitko se ne javlja,4,1
34,Ilva Marić,34,"Trudnocu vodim privatno, i za sve potrebno mi zapravo treba samo sestra ciji je odnos sa pacijentima grozan! Javljanje na telefon kod njih nepostoji, svaki put kad ju trebam danima bezuspjesno zovem i kad nakraju odustanem od zvanja i odem u ordinaciju, pa me docekaju bezobrazni komentari i velika doza bahatosti od strane sestre Razumijem da imaju i previse posla ali takav odnos i to nejavljanje na telefon samo dodatno otezavaju posao i njima i pacijentima",3,0
35,Ilva Marić,35,"Kod doktorice Maric cekaju svi,cekaju i trudnice cijelo jutro!na telefon se na javljaju ni prvog u mjesecu, zvala sam ih 30tak puta.Opravdanje nije stanje u nasem zdravstvu, jer se osobno nigdje nisam susrela s ovako neorganiziranom ordinacijom, ni kod doktora opce prakse koji ima puno vise pacijenata, cak ni u bolnici Sestra u podne prolazi kroz cekaonicu s izjavom da mora i ona popiti kavu Kad se zainatite pa nekako uspijete doci kod doktorice ona je divna, al sto mi to znaci? To nije najdoktor, a naljepili su to na vrata! Privatno vodim trudnocu, trebala bi mirovati, treba mi samo uputnica, a do nje cu mukotrpno doci To nije i ne moze biti ok",6,0
36,Ilva Marić,36,"Doktorica je u komunikaciji vrlo ljubazna, spremna saslušati i objasniti, a u poslu stručna, Puno mi je pomogla točnim dijagnozama i terapijom zahvaljujući kojoj danas imam dijete Problem je dobiti ordinaciju na telefon i naručiti se ako nisi trudan kao i doći na red ako je hitno, a niste ranije naručeni Mislim da problem nije u sestri koja je vrlo draga, već u prevelikom broju pacijenata Sestra je katkad nervozna zbog gužve pa se ne može baš svakom smiješiti što je razumljivo jer nije hostesa već zaposlenica hrvatskog zdravstvenog sustava",4,0
37,Ilva Marić,37,"Doktorica Marić je predivna, pristupačna i ljubazna, a što se tiče medicinske sestre žena je isto tako vrlo draga osoba, samo je na nju pritisak jako velik i nije mi jasno zašto se ne zaposli još jedna medicinska sestra na toliko velik broj pacijenata Ne poznajem je osobno i nemam nikakve ""veze"" ali sestra me uvijek lijepo primila te cijelu trudnoću su mi besprijekorno vodili doktorica i svi doktori što su na zamjeni",2,2
38,Ilva Marić,38,"Imam isti problem Ovo je strasno i nedopustivo Sigurna sam da nijedna od nas nema vremena cijeli dan biti na telefonu Jucer sam zvala 47 puta Odlucila sam je dobiti, ali medicinska sestra je ipak upornija u ignoriranju nego ja u zvanju",5,1
39,Ilva Marić,39,"U potpunosti se slazem sto se tice doktorice i medicinske sestre Doktorica divna, medicinska sestra hladna i nezainteresirana",2,1
40,Ilva Marić,40,"Doktorica Marić je divna, ali je ne bih preporučila samo zbog medicinske sestre koja se ponaša kao da je u najmanju ruku Predsjednica Republike Kada sam se tek upisala nisam znala da samo prvi dan u mjesecu mogu zvati da se narucim Kada sam to saznala, doslovno sam cijeli dan bila na telefonu, ali se medicinska sestra nije javljala Onda sam otišla s posla i čekala s drugim gospođama, pristojno sam prvo puštala trudnice Čekala sam gotovo 3 sata, onda sam pokucala i zamolila može li me upisati za pregled Ona je rekla hladno: ""Ne moze, nazovite na telefon"", a ja na to: ""Ali Vi se uopce ne javljate na telefon"", ona ništa jedva sam je nagovorila da me upiše i ipak me upisala u prazan kalendar za sljedeci mjesec Gospođi je to bio ogroman napor Ovaj mjesec, 1.3.2016 sam ponovno zvala, 6 puta: telefon je bio ili zauzet ili se nije javljala Dan poslije 2.3.2016 sam zvala 47 puta: telefon zauzet ili se ne javlja Jutros, 3.3.2016 sam zvala 3 puta, ista stvar Gospođo medicinska sestro, mislim da se ponasate jako nekorektno telefoni postoje s razlogom, a vecina zena koje dolaze kod divne doktorice, ali nimalo divne i jako neljubazne medicinske sestre, vecinom rade Ovaj nas zdrastveni sustav se sveo na to da moras biti dobar s jednom obicnom medicinskom sestrom da bi dosao na red Oprostite ako sam Vas s riječju ""običnom"" uvrijedila, ali i Vi mene vrijeđate svakim ignoriranjem mojeg poziva i mojeg dragocjenog vremena koje trosim da bih dobila termin kod doktorice (ponavljam, jucer sam zvala 47 puta!!!) Apeliram na Vas doktorice Maric da nekako rijesite ovaj problem jer je ovaj nacin neodrziv i neizdrzljiv Sigurna sam da postoje sposobnije medicinke sestre koje su u stanju dignuti slusalicu i zapisati pacijenticu za termin Hvala Vam",21,1
41,Ilva Marić,41,"Doktorica i sestra odlične, ali pretrpane pacijentima i teško je doći na red, što izaziva nezadovoljstvo pojedinih žena",1,0
42,Ilva Marić,42,"Poštovani, zanima me kako je moguće naručiti se izvan tog prvog u mjesecu kada se naručuje za redovni pregled Konkretno, zanima me kako doći do sestre ukoliko se trebate naručiti za pregled da bi se potvrdila trudnoća Sestra je jako neugodna, ne javlja se na telefon ako nije prvi u mjesecu, a ukoliko dođete i čekate red da bi se naručili za takav pregled, onda se susretnete s tim da vas sestra izbaci vani iz ureda i usput se izdere da ne može više Znači, upisan si kod ginekologa da ne moraš plaćati privatne preglede, ali sve to gubi smisao ako imaš lošu sestru kao što je od DR. Ilve Marić",4,1
43,Ilva Marić,43,Izrazito neugodno iskustvo svaki put s medicinskom sestrom koja radi u ambulanti,1,0
44,Ilva Marić,44,"Odlična doktorica za vođenje trudnoće visoka razina profesionalnosti i puna oprema ordinacije! Zatrpani su poslom i trudnice imaju potpunu prednost tako da za one koji nisu trudni teze ce dobiti termin pregleda (koji se moze zatraziti prvi radni dan u mjesecu) ali budite uporni i doci cete na red, upravo zbog zivcanih i nestrpljivih ljudi sestra je neki put frustrirana i pusti telefon da zvoni dok obavlja ctg trudnicama ili dok rjesava papirologiju tako da je moj savjet samo strpljivo! Mislim da puno bolje funkcioniraju odkad su u zasebnoj ordinaciji i sada su dostupni telefonom 627 230",3,1
45,Ilva Marić,45,Izvrsna doktorica ali i njezina medicinska sestra Samo bi bilo super da uvedu naručivanje putem maila ili faxa i onda samo da naknadno jave datum pregleda na ostavljeni kontakt broj osobe koja traži pregled,2,2
46,Ilva Marić,46,Ima i drugih ordinacija koje obavljaju isti posao pa čovjek ne mora potrošiti pola dana na pozivanje uvijek istog broja,1,1
47,Ilva Marić,47,Zovem već mjesec dana u komadu nitko se nejavlja,2,1
48,Ilva Marić,48,"To je tocan broj Danas sam ju napokon dobila, nakon jedno dva tjedna pokusavanja Ista stvar-ili je bilo zauzeto ili se nitko ne javlja",3,1
49,Ilva Marić,49,"Poštovani!! nemoguče je ikoga dobit na taj br cijeli tj zovem do kraja odzvoni,a nakon toga je zauzeto! kad zvati i dali ima koi dr broj da se dode do doktorice Marić srdačan pozz svima",3,1
50,Ilva Marić,50,"Gužve su ogromne i čeka se jako dugo na termin, ali to nije greška DR. Marić, jednostavno nam fali ginekologa Malo detaljniji pregledi ne bi škodili, sve je to nekako brzinski, ali što je je, i sa takvim pristupom mi je dala odličnu terapiju koja me preporodila, tako da žena valjda zna što radi Meni je čisto ok, izvlači maksimum iz radnih uvjeta kako bi pomogla pacijenticama Vjerujem da radi u boljim uvjetima da bi bila jedna od najboljih ginekologinja",4,1
51,Ilva Marić,51,"Eto, gore sam navela njihov (samo njihov) novi broj telefona, ali isto ih je jaaaako tesko dobiti! Do sada sam, ipak, dozivila da se upornost isplati! :) Ali triba imati zivce i strpljenje i zvati Sigurna sam da je ipak najveci problem sto ih se ne moze odmah dobiti u tome sto radi jedna sestra koja nema 100 ruku i usiju pa da se moze javiti na svaki poziv sad i odmah A i nije joj to jedini posa koji obavlja pa se ne triba cuditi ""Jadna"" ona, zapravo Savjet- budite uporni i sacuvajte svoje zivce, ako ikako mozete! ;)",8,1
52,Ilva Marić,52,"023 627-230 To je novi broj telefona od kada su se preselili u svoju ordinaciju, mislim kat iznad DR. Krpine",1,1
53,Ilva Marić,53,ima li netko broj tel od dr Ilve Marić? hvala!,3,1
54,Ilva Marić,54,"jA VODIM TRUDNOĆU KOD DR. MARIĆ, JAKO SAM ZADOVOLJNA",1,2
55,Ilva Marić,55,"DR. Marić radi u ambulanti DR. Krpine, ona u jednoj, a on u drugoj smjeni To sliči na ništa! Možete zamisliti kako telefon zvoni po cijeli dan, jedan broj za dva doktora! Mogli su bar imati svak svoj broj telefona Neznam čiji je to propust, najvjerojatnije poslodavca za kojeg rade",5,1
56,Ilva Marić,56,"DR. Marić ne može se dobiti na telefon Čiji je to propust (da li sestre ili doktorice) ne znam Znači, jedini način za dobiti termin za pregled ili lijek je doći u ordinaciju, radi čega nastaje velika gužva i naručeni pacijenti dugo čekaju Možda ne bi bilo loše da razmisle i o mailu na koji bi se pacijentice mogle javiti za naručiti se ili ako se nakon pregleda nešto zaboravilo (što se često zna dogoditi upravo radi velike gužve) Učitali ste sve komentare",4,1
57,Ivana Borčić-Sesar,1,"Evo da i ja malo pohvalim svoju doktoricu!!! U njezinom je radu prvenstveno izražena ljudskost i visok stupanj profesionalnosti, izrazito je ljubazna, uvijek vesela te stručna. Uvijek se maksimalno potrudi pomoći. Hvala za sve..",4,2
58,Ivana Borčić-Sesar,2,"Dr. Borčić Sesar je izvrsna doktorica, stručna, profesionalna, požrtvovna i nadasve ljubazna osoba. Mislim da bi se mnogi mogli naučiti od nje kako se ponaša prema pacijentu.",3,2
59,Ivana Borčić-Sesar,3,Doktorica je izrazito predana svom poslu! Zbog nje sam izgubila strah od stomatologa! Sada dođem opušteno i sjednem na stolicu! Jako stručna u svom poslu!,4,2
60,Ivana Borčić-Sesar,4,"Ljubazna, stručna i pažljiva. Termini uvijek po dogovoru bez kašnjenja. Ordinacija i čekaonica uvijek jako uredno i čisto. Sve pohvale!!",4,2
61,Ivana Borčić-Sesar,5,"Izuzetno susretljiva i profesionalna,predana svom poslu. Uvijek spremna poslušati, objasniti i riješiti problem. Svaki zahvat obavi stručno i bezbolno. Tople preporuke A.P.",4,2
62,Ivana Borčić-Sesar,6,"Smirena, i izuzetno strpljiva. Prvenstveno čovjek, a onda vrhunska liječnica. Što se tiće zahvata - uvijek bez greške. Rad precizan, ima nježnu ruku, ne odugovlaći.",4,2
63,Ivana Borčić-Sesar,7,"Predivna i izuzetno stručna liječnica, ordinacija uvijek besprijekorno čista i uredna kao i prostor čekaonice. Sestre uvijek ljubazne i nasmijane. Posebne pohvale liječnici za rad s malom djecom, jako pristupačna, nježna i puna empatije prema svima.",3,2
64,Ivana Borčić-Sesar,8,"Pacijentica sam doktorice dent.med.Ivane Borcic od prvog dana otvaranja ordinacije. Uvijek je profesionalna, dostupna i informirana o novitetima u dentalnoj medicini. To mi je izrazito vazno jer ponudi neka nova rjesenja problema, nove mogucnosti. S vremenom je cijela moja obitelj postala stalni pacijent. Hvala Vam dr.Ivana.",5,2
65,Ivana Borčić-Sesar,9,"Najbolja teta zubarica na svijetu! Za svaki moj problem je pronašla najbolje rješenje. Iako mi je još od djetinjstva odlazak kod zubara bio svojevrsna drama, nikada mi nije bio problem otići kod Ivane. Učinila je da strah i nelagoda nestanu :)",4,2
66,Ivana Borčić-Sesar,10,"Doktorica Ivana vam doslovno vraća osmijeh na lice! Nema straha, nema neizvjesnosti; dobijete objašnjenje za svaki korak koji će napraviti. Ovdje ste u stručnim, samouvjerenim i pažljivim rukama!",3,2
67,Ivana Borčić-Sesar,11,Svima bih preporučio doktoricu Ivanu jer svim pacijentima koji imaju problem sa zubima rijesit ce na najbolji mogući nacin. Vrlo je ljubazna i pedantna te predana svome poslu.,2,2
68,Ivana Borčić-Sesar,12,"Najbolja doktorica koja postoji, ima dobre savjete, jako je pristupačna i osjećajna, preporučujem i drugima jer je najbolja !",1,2
69,Ivana Borčić-Sesar,13,"Apsolutno je naj, naj bolja kao doktorica, kao osoba i kao majka. Svaka joj čast. Skidam kapu do poda.?????",3,2
70,Ivana Borčić-Sesar,14,Sve je rečeno u samom ocjenjivanju Sve ostalo je suvisno. STRUČNOST I LJUBAZNOST NA NIVOU. UVIJEK SPREMNA POMOCI PREPORUČIO BIH ORDINACIJU DR BORCIC SESAR SVIMA,3,2
71,Ivana Borčić-Sesar,15,"Njezino raspoloženje i samom pacijentu popravi dan. Vrlo pristupačna, profesionala , organizirana i ljubazna doktorica. Već sam dvije godine njezina pacijentica i dok god mogu, biti ću njezina pacijentica jer joj u potpunosti vjerujem.",3,2
72,Ivana Borčić-Sesar,16,"Dr. Borčić izuzetno je susretljiva, strpljiva i ugodna osoba. Savjesna je, stručna i profesionalna. Dobila sam dojam da jako voli ono što radi. Temeljita je i redovito savjetuje pacijenta kako preventivno djelovati.",5,2
73,Ivana Borčić-Sesar,17,"Nakon svih radova bila sam zadovoljna pristupom i profesionalnošću te bih svakako preporučila dr. Borčić kao osobu kojoj se s punim povjerenjem mozete obratiti. Doktorica je izuzetno stručna, angažirana i topla osoba.",3,2
74,Ivana Borčić-Sesar,18,"Izrazito ljubazna,strucna,temeljita i jasna. Sve su to odlike koje krase divnu doktoricu Ivanu. Kod nje strah od zubara nestaje. Sve pohvale i tople preporuke. Ana",5,2
75,Ivana Borčić-Sesar,19,"Za Ivanu Borčić Sesar rekao bih kako ima poseban pristup prema pacijentu. Uvijek je nasmijana, ljubazna, edukativna, a takvo joj je i osoblje. Kao njezin pacijent, imam dojam da sam joj najvažniji pacijent, no u razgovoru s drugim osobama shvatio sam kako takav pristup ima prema svim pacijentima. Smatram da je kod stomatologa bitna stručnost, ali i dobar pristup, a Ivana je i stručna te ima dobar pristup prema pacijentima. Sve pohvale za rad Ivani i želim joj puno sreće. Adam",6,2
76,Ivana Borčić-Sesar,20,"Sve pohvale za doktoricu Ivanu, uvijek ljubazna, nasmijana i potpuno predana poslu. Strah od zubara nestane kada dodete u njezine ruke.Ordinacija je prekrasna, uvijek uredna i čista, sestra takoder ljubazna, puno uspjeha im želim u radu.",2,2
77,Ivana Borčić-Sesar,21,"Doktorici Ivani velika pohvala za profesionalnost i posvećenost svakom pacijentu. Uvijek ljubazna i spremna odgovoriti na sva pitanja.Vrlo je smirena i topla prema malim pacijentima kojima odlazak stomatologu nije neugodno iskustvo. Izuzetno pedantna i temeljita,a njezina stručnost ulijeva veliku sigurnost pacijentu.",3,2
78,Ivana Borčić-Sesar,22,"Sve pohvale doktorici Ivani i njenim tehničarkama na ljubaznosti, stručnosti, i prije svega iskrenosti, bez nje bih imala zub manje (greškom druge liječnice) i još uvijek živjela u uvjerenju da imam dobre zube kao što su me liječnici prije nje uvjeravali popravljajući po jedan godišnje!",1,2
79,Ivana Borčić-Sesar,23,"Uspjele su umanjiti moj 'strah od zubara na najmanji mogući'. Svojom vedrinom, nasmijanošću, savjetom, uputama. Doktorica svesrdno pomogla i kad je nećak završio u bolnici. Svaka čast doktorici i njenoj sestri Mariji.",4,2
80,Ivana Borčić-Sesar,24,"Stomatologinja Ivana ima u sebi sve ono što bi najdoktor trebao imati:ljubaznost,srdačnost,nasmijano st,iskrenost,stručnost,pažljivost,razumijevanje .. Od prvog dana smo njezini pacijenti i svaki odlazak kod stomatologa nam ne predstavlja baš nikakav problem,kako meni,tako niti mom suprugu i trima kćerkama.I dan danas po dječjim sobama imamo izvješene diplome za hrabrost koje su kćerke dobivale prilikom posjeta našoj stomatologinji Ivani.Naša stomatologinja Ivana s nevjerojatnom lakoćom rješava sve probleme sa zubima na koje smo nailazili,bez imalo bola,bez straha. Prije petnaestak godina su mi popravljeni svi zubi u praktički svega nekoliko odlazaka k njoj,i od tada odlazim samo na redovne kontrole. To dovoljno govori o kvaliteti materijala koji koristi,njezinoj stručnosti i vrhunskom znanju. Što se tiče njezinog osoblja,vrlo je lijep osjećaj kada nazovete,a sestra Marija srdačno razgovara s vama,pita vas kako ste ,naručuje vas u ekspresnom terminu.Prostor stomatološke radionice je ambijentalni,moderan,opuštajući i izuzetno uredan. Toplo preporučujemo našu stomatologinju Ivanu svakom pacijentu.",6,2
